"sex_name","Joinpoint.Model","AAPC.Index","Start.Obs","End.Obs","val","lower","upper","Statistically.Significant..0.No..1.Yes.","Test.Statistic","P.Value","AAPC"
"Both",4,"Full Range",1990,2021,"-0.85","-0.91","-0.79",1,-26.5929,0,"-0.85 (-0.91 - -0.79)"
"Female",4,"Full Range",1990,2021,"-0.88","-0.96","-0.81",1,-22.3106,0,"-0.88 (-0.96 - -0.81)"
"Male",5,"Full Range",1990,2021,"-0.81","-0.88","-0.74",1,-23.1704,0,"-0.81 (-0.88 - -0.74)"
