"sex_name","year","val","SE"
"Both",1990,173.03230492169,11.6913119639745
"Both",1991,172.91518003784,11.2488903603852
"Both",1992,172.48838423979,10.8438127089413
"Both",1993,171.84542593554,10.4551953844643
"Both",1994,171.00878815259,10.1395509671378
"Both",1995,170.05518920946,9.83081937435459
"Both",1996,168.31448984609,9.59575273043112
"Both",1997,165.405353633,9.4322622191199
"Both",1998,161.95933109273,9.25993537235204
"Both",1999,158.50309899603,9.08564014206378
"Both",2000,155.70616837943,8.93028264558674
"Both",2001,153.27701580533,8.78065656562755
"Both",2002,150.60484901941,8.63549571864542
"Both",2003,147.83746021466,8.52684709907397
"Both",2004,145.00431644914,8.39366831169898
"Both",2005,142.36440098113,8.24916502242347
"Both",2006,139.47917603705,8.11553883767347
"Both",2007,135.97198112638,7.91454666820408
"Both",2008,132.26295692571,7.70386575403317
"Both",2009,128.68117025355,7.49740546600765
"Both",2010,125.62018317077,7.26865981829592
"Both",2011,122.67026130695,7.03073130114031
"Both",2012,119.38774059297,6.77309306821429
"Both",2013,116.15682248006,6.51618756888266
"Both",2014,113.25555221683,6.30532974391582
"Both",2015,110.98719027554,6.18543740424235
"Both",2016,109.22344747675,6.04668121313776
"Both",2017,107.55244218849,5.93318967076276
"Both",2018,106.13999336856,5.86320631412755
"Both",2019,105.16801246807,5.82313812813011
"Both",2020,104.60961452421,5.7688076930051
"Both",2021,102.99609970185,5.7897357146199
"Female",1990,159.86789005245,11.1801061429056
"Female",1991,159.50355583081,10.8063252760816
"Female",1992,158.8802736037,10.4863447464031
"Female",1993,158.09362049792,10.2619062380281
"Female",1994,157.2063853252,10.0116538055842
"Female",1995,156.29862446125,9.73819969002296
"Female",1996,154.63228818334,9.55823214846684
"Female",1997,151.80269371393,9.30702132743878
"Female",1998,148.43823825048,8.98189109503061
"Female",1999,145.10685238588,8.71926472965562
"Female",2000,142.39751538324,8.46097875258929
"Female",2001,140.06392551404,8.35177980114541
"Female",2002,137.49055577585,8.2249036013699
"Female",2003,134.81720883983,8.01407185743113
"Female",2004,132.14012233919,7.77279852925765
"Female",2005,129.7016582781,7.6304042352347
"Female",2006,127.06951036419,7.48482620315561
"Female",2007,123.86273553912,7.30076173045153
"Female",2008,120.46551207624,7.0957251191148
"Female",2009,117.16780636491,6.90056585605357
"Female",2010,114.33608610199,6.73935875869388
"Female",2011,111.54213872154,6.53811680726276
"Female",2012,108.34141514219,6.31308086975765
"Female",2013,105.11862877694,6.0701626887398
"Female",2014,102.22413954793,5.86411980646428
"Female",2015,99.97923768354,5.77488161827551
"Female",2016,98.16081730485,5.6877804294898
"Female",2017,96.36414030372,5.67537492496173
"Female",2018,94.85104962885,5.67520611902041
"Female",2019,93.87004996055,5.65717589607653
"Female",2020,93.56018389643,5.40935900148214
"Female",2021,91.95547448468,5.39120053244388
"Male",1990,190.24368876356,12.5658811369923
"Male",1991,190.31445745668,12.0797699481429
"Male",1992,190.0273821884,11.6510444915179
"Male",1993,189.47266491767,11.1900481262959
"Male",1994,188.63396120298,10.8828068887168
"Male",1995,187.57473666181,10.6369944644592
"Male",1996,185.68710630888,10.4341371612704
"Male",1997,182.60066609468,10.1770307840408
"Male",1998,178.960776127,9.97114727986735
"Male",1999,175.25982577406,9.74626491346174
"Male",2000,172.27646757621,9.57478498122704
"Male",2001,169.64875642504,9.39323117237755
"Male",2002,166.76503500921,9.2072060450051
"Male",2003,163.79329835536,9.01182906408673
"Male",2004,160.68474557784,8.83116833620154
"Male",2005,157.72810966337,8.63958522948725
"Male",2006,154.47427460087,8.54040851721429
"Male",2007,150.54152613913,8.38022496917602
"Male",2008,146.39149863881,8.13376754047704
"Male",2009,142.40534576654,7.93168554096684
"Male",2010,139.00705158259,7.8088874308801
"Male",2011,135.79494009351,7.62530788789796
"Male",2012,132.32477078675,7.40756996348724
"Male",2013,128.99529732591,7.16428192118112
"Male",2014,125.99366569624,6.98770227084693
"Male",2015,123.60680704552,6.852901419125
"Male",2016,121.82395638146,6.70138594646939
"Male",2017,120.21850087193,6.61027488276531
"Male",2018,118.8498949105,6.53498236813265
"Male",2019,117.83591735467,6.48731237760204
"Male",2020,116.9963357713,6.53377696155867
"Male",2021,115.3444804733,6.34440222203571
