"sex_name","year","val","SE"
"Both",1980,71.147635738271,9.96989517395452
"Both",1981,62.8607695972554,8.49619469007945
"Both",1982,59.8619903312974,7.54921937737122
"Both",1983,57.4064744445874,6.75221577665064
"Both",1984,51.1722880308291,5.61949485882347
"Both",1985,47.2847450989815,4.79131594500756
"Both",1986,43.3962024330773,4.17431213207365
"Both",1987,39.9689616108504,3.73060269276377
"Both",1988,36.0535318401104,3.19553125313376
"Both",1989,33.1463143090158,2.77040137149661
"Both",1990,30.4327258927264,2.58513983367547
"Both",1991,27.7411359093094,2.20206382402955
"Both",1992,25.1461398183146,1.96232354747927
"Both",1993,22.8849134614527,1.65924662683654
"Both",1994,20.7421577430876,1.38819739266419
"Both",1995,18.0946318705685,1.13152103081438
"Both",1996,16.227200605947,1.10479009311826
"Both",1997,15.2073662490282,1.03459532417926
"Both",1998,14.6009802075493,0.964490785415605
"Both",1999,14.2857477870899,0.907578147891363
"Both",2000,13.4912803375841,0.842933360051495
"Both",2001,12.4660281262853,0.796612334590557
"Both",2002,11.8675853931231,0.820715843865064
"Both",2003,10.8078043889688,0.757153345251628
"Both",2004,9.73206771287405,0.630570886449922
"Both",2005,8.51653404525921,0.540714538774355
"Both",2006,7.46486332266924,0.512122354120064
"Both",2007,6.73424266986708,0.465988455486744
"Both",2008,6.20862543166039,0.441537045691942
"Both",2009,5.73926498722113,0.407187334335132
"Both",2010,5.58066248557593,0.393854567820065
"Both",2011,5.26090455769594,0.385780571763164
"Both",2012,5.01257606358797,0.369331220017389
"Both",2013,4.50272101443734,0.33223910366321
"Both",2014,4.12566874343629,0.302478304409042
"Both",2015,3.94093503105652,0.295427747525119
"Both",2016,3.70106081621769,0.289850889132776
"Both",2017,3.49277315674809,0.284830637436474
"Both",2018,3.29600373484692,0.282565333507168
"Both",2019,3.00565858621098,0.266266821461817
"Both",2020,2.92976318593976,0.263300604430459
"Both",2021,2.93212002347294,0.273742665287738
"Female",1980,47.309220676336,5.44169017324513
"Female",1981,40.6461908812725,4.54962790258803
"Female",1982,38.0401726104818,4.10318972057412
"Female",1983,36.2400161185986,3.75518645652257
"Female",1984,31.5747817001071,3.25160185191595
"Female",1985,28.5284601050725,2.81240437910511
"Female",1986,25.704780697522,2.49603549215952
"Female",1987,23.3697355268066,2.13312880218575
"Female",1988,20.5965635619309,1.81639771147841
"Female",1989,18.6189172612621,1.61402080112933
"Female",1990,16.9047824784788,1.42456517239486
"Female",1991,15.2734565337838,1.29574481100611
"Female",1992,13.9202641984971,1.1640987168942
"Female",1993,12.5986763102746,1.00964238008307
"Female",1994,11.1705293049225,0.870421318055312
"Female",1995,9.85204970215833,0.757579390077902
"Female",1996,8.93106823752486,0.702435605765001
"Female",1997,8.41011135712255,0.668278601583032
"Female",1998,8.16374945012983,0.630277001917511
"Female",1999,8.09411505463642,0.62994232791322
"Female",2000,7.73699880969435,0.592069862085496
"Female",2001,7.21999652953633,0.56073210843433
"Female",2002,6.99449635760978,0.577025696592087
"Female",2003,6.38801696188614,0.570468129123743
"Female",2004,5.78926162402534,0.509428735950077
"Female",2005,5.03083520576359,0.460982179170696
"Female",2006,4.42077912034953,0.423110701148844
"Female",2007,3.97401168617131,0.388099216356238
"Female",2008,3.64869609154711,0.365570125720537
"Female",2009,3.39325040355874,0.337612010446022
"Female",2010,3.35295544151192,0.324555064415497
"Female",2011,3.18409438710824,0.311558460931813
"Female",2012,3.07034718824572,0.297422978883922
"Female",2013,2.74131419428309,0.265662280220234
"Female",2014,2.51282905233612,0.252687832116595
"Female",2015,2.42129850257736,0.257051189378242
"Female",2016,2.27873308424397,0.248308094585423
"Female",2017,2.19225261016368,0.240401862899757
"Female",2018,2.05021359003037,0.230792663841012
"Female",2019,1.84181311690594,0.210073013769485
"Female",2020,1.76772285557074,0.206867377027325
"Female",2021,1.78144904707309,0.210129526450365
"Male",1980,111.240278406915,26.4205016435063
"Male",1981,100.807554401357,23.4450674263254
"Male",1982,97.335934024402,21.0638686042755
"Male",1983,93.9063797540158,19.0157917290857
"Male",1984,85.3654971794992,16.3959526941579
"Male",1985,80.101199566959,14.4066096441239
"Male",1986,74.5156365136986,12.8232954230945
"Male",1987,69.3238792206222,11.3445583658332
"Male",1988,63.5787718652551,9.7151311247514
"Male",1989,59.5200644465937,8.95002796526668
"Male",1990,55.2995378460698,8.1542597712436
"Male",1991,50.8572745133502,7.14574619143873
"Male",1992,46.3001708271768,6.18036931995891
"Male",1993,42.466225615007,5.20893723821758
"Male",1994,39.2254977868396,4.24683101986162
"Male",1995,33.8272259484715,3.13783911559314
"Male",1996,29.6929682554791,2.43141373989463
"Male",1997,27.8951799612783,2.4608993896913
"Male",1998,26.6238113816382,2.3344951106058
"Male",1999,26.0528724750669,2.23459322407304
"Male",2000,24.5234141244891,2.06189546985801
"Male",2001,22.3885990956289,1.879283389367
"Male",2002,21.255063623923,1.83996450889712
"Male",2003,19.2846834081954,1.63826524138287
"Male",2004,17.2086544173771,1.40254823328138
"Male",2005,15.1097564424701,1.21146610136198
"Male",2006,13.1350690102619,1.12472592706132
"Male",2007,11.8526791642542,1.07771575569079
"Male",2008,10.8867322679926,1.00756395738533
"Male",2009,9.95802520554291,0.891105901749016
"Male",2010,9.57139276956437,0.847900727509397
"Male",2011,8.95370252557907,0.80297430422689
"Male",2012,8.43599524250211,0.748680179501295
"Male",2013,7.56847878478341,0.662584087660202
"Male",2014,6.90678515140577,0.61292116905169
"Male",2015,6.56435458243092,0.593677578647743
"Male",2016,6.13874393667712,0.571125122835958
"Male",2017,5.68802878826658,0.568298247034629
"Male",2018,5.3838708700839,0.568506988293918
"Male",2019,4.92904085610422,0.549900761621379
"Male",2020,4.83999541063342,0.565618163557558
"Male",2021,4.79250199438881,0.576869907444313
