Year,Value,Type,Gender,Indicator
1999,8.094115055,Actual,Female,ASDR
2000,7.73699881,Actual,Female,ASDR
2001,7.21999653,Actual,Female,ASDR
2002,6.994496358,Actual,Female,ASDR
2003,6.388016962,Actual,Female,ASDR
2004,5.789261624,Actual,Female,ASDR
2005,5.030835206,Actual,Female,ASDR
2006,4.42077912,Actual,Female,ASDR
2007,3.974011686,Actual,Female,ASDR
2008,3.648696092,Actual,Female,ASDR
2009,3.393250404,Actual,Female,ASDR
2010,3.352955442,Actual,Female,ASDR
2011,3.184094387,Actual,Female,ASDR
2012,3.070347188,Actual,Female,ASDR
2013,2.741314194,Actual,Female,ASDR
2014,2.512829052,Actual,Female,ASDR
2015,2.421298503,Actual,Female,ASDR
2016,2.278733084,Actual,Female,ASDR
2017,2.19225261,Actual,Female,ASDR
2018,2.05021359,Actual,Female,ASDR
2019,1.841813117,Actual,Female,ASDR
2020,1.767722856,Actual,Female,ASDR
2021,1.781449047,Actual,Female,ASDR
2022,1.795175239,Forecast,Female,ASDR
2023,1.80890143,Forecast,Female,ASDR
2024,1.822627622,Forecast,Female,ASDR
2025,1.836353813,Forecast,Female,ASDR
2026,1.850080005,Forecast,Female,ASDR
2027,1.863806196,Forecast,Female,ASDR
2028,1.877532388,Forecast,Female,ASDR
2029,1.891258579,Forecast,Female,ASDR
2030,1.904984771,Forecast,Female,ASDR
