203644.630372615,3,172076.369694473,3,143748.549496199,3,115682.810408956,3,94087.6087598795,3,66419.8415971298,3
26185.6576101105,3,21980.6346811525,3,17896.5025721673,3,14521.2086060671,3,11527.571302873,3,8931.44298481865,3
18728.9058207889,3,17657.4233209457,3,15140.2311682111,3,12614.6925674173,3,10077.8544510322,3,8240.41346924805,3
37799.6139063558,3,37251.0493808204,3,34002.0786358706,3,28275.1362021037,3,22550.0033657622,3,19126.8415433526,3
56816.27877695,3,57231.726269468,3,52602.8824447645,3,45976.8634826121,3,36259.9761437237,3,31450.6018189412,3
71403.089274859,3,74741.0473403278,3,69555.6597824702,3,59429.9878550597,3,47843.7622846661,3,41965.2229060788,3
82104.7771250746,3,86698.609110993,3,82968.7383132136,3,71271.1686203759,3,58499.0504121384,3,52378.9157020654,3
88762.4344419877,3,94102.3715237868,3,92171.1501197989,3,83055.1466858576,3,69342.5223898096,3,62185.8665833033,3
102122.079218216,3,103660.536026828,3,100251.982642435,3,90391.4850550498,3,78988.940768313,3,70397.8612615151,3
108725.026813192,3,115258.020426109,3,111062.31300714,3,101655.886206166,3,90323.3957284701,3,81283.2934095392,3
128511.972935961,3,125004.84834158,3,121958.802524133,3,114024.793616102,3,107494.609368251,3,97402.423623815,3
143208.560918482,3,136015.25177034,3,123166.525229608,3,118069.184718897,3,113843.648506676,3,105779.030554501,3
157292.930164022,3,150032.977577829,3,134411.720452682,3,122151.239572006,3,116772.211631711,3,108744.880092365,3
151248.064779167,3,153369.748094705,3,141293.88261854,3,124675.829078777,3,110266.0465179,3,108457.408838602,3
142847.92558957,3,148234.104755419,3,143672.171457576,3,127862.64259382,3,113115.101117132,3,106441.616076429,3
111965.696017161,3,115767.441203707,3,116620.060106054,3,108320.798202079,3,98106.2544851464,3,91357.8256524201,3
2651.51886147379,3,3210.60648456335,3,3520.68841416941,3,3576.6706768081,3,3894.39111253806,3,4655.71097689056,3
