"","location_name","val","lower","upper","AAPC"
"1","China",-5.206,-5.439,-4.972,"-5.206 (-5.439 - -4.972)"
"2","Global",-2.577,-2.692,-2.461,"-2.577 (-2.692 - -2.461)"
