"","location_name","val","lower","upper","AAPC"
"1",0,-5.104,-5.441,-4.767,"-5.104 (-5.441 - -4.767)"
"2",1,-2.873,-2.989,-2.758,"-2.873 (-2.989 - -2.758)"
