"","location_name","year","val","SE"
"7383","China",1990,29.6228922612975,3.51703531396635
"7386","China",1991,28.9001524107675,3.38608018894786
"7389","China",1992,28.1924629707043,3.2841155770211
"7392","China",1993,27.5122453015346,3.15314657360268
"7395","China",1994,26.8765048143553,3.02652601525347
"7398","China",1995,26.3087135066626,2.95046067467605
"7401","China",1996,25.7642353907381,2.89332998062156
"7404","China",1997,25.1961353518138,2.81611747618383
"7407","China",1998,24.6529256103303,2.77661799603995
"7410","China",1999,24.1895527823498,2.73547404557467
"7413","China",2000,23.8687169214175,2.69646239867826
"7416","China",2001,23.7637818526827,2.70035280060819
"7419","China",2002,23.8345230838891,2.75448141269036
"7422","China",2003,23.9956581724479,2.81657087961638
"7425","China",2004,24.1622081898731,2.89713765802676
"7428","China",2005,24.2499881057368,2.93911437064452
"7431","China",2006,24.3229854437146,2.95670590085832
"7434","China",2007,24.4546891768018,2.9686536026849
"7437","China",2008,24.5920971196287,2.9769118246149
"7440","China",2009,24.6884149813543,2.97880142911798
"7443","China",2010,24.6985809657694,2.96997467150413
"7446","China",2011,24.6229525294152,2.95751449356258
"7449","China",2012,24.5023860612128,2.95549120529653
"7452","China",2013,24.3589054542867,2.93492225087592
"7455","China",2014,24.2194106568927,2.93205372686566
"7458","China",2015,24.1114259071995,2.92998103681605
"7461","China",2016,24.0298242183755,2.93242013003217
"7464","China",2017,23.9815734469945,2.93488472936079
"7467","China",2018,23.961847765962,2.90423475682906
"7470","China",2019,23.9493078128117,2.87534525794263
"8913","Global",1990,32.6867355338617,3.63677681922936
"8916","Global",1991,32.5883932921016,3.61892356930556
"8919","Global",1992,32.5137953663768,3.60342314140074
"8922","Global",1993,32.4571443460614,3.59197648917173
"8925","Global",1994,32.4329478100462,3.59226665641592
"8928","Global",1995,32.4494159464687,3.60036085385982
"8931","Global",1996,32.4883103268549,3.61568740987128
"8934","Global",1997,32.5510256082681,3.63251991697671
"8937","Global",1998,32.6346213413922,3.6549176171802
"8940","Global",1999,32.7428249957672,3.68019708188482
"8943","Global",2000,32.8834256898397,3.70969705607258
"8946","Global",2001,33.0852404946101,3.72452789674426
"8949","Global",2002,33.3598725522362,3.76769798101033
"8952","Global",2003,33.6699937187925,3.81065474508513
"8955","Global",2004,33.9767804416757,3.86255798574158
"8958","Global",2005,34.2473534324381,3.90792323109056
"8961","Global",2006,34.4814793472198,3.95782701788041
"8964","Global",2007,34.7115864573917,4.01777193225026
"8967","Global",2008,34.9469115391764,4.12529432622735
"8970","Global",2009,35.19410346813,4.2075805539827
"8973","Global",2010,35.4649901903927,4.27934238274707
"8976","Global",2011,35.7328826172831,4.34851072282763
"8979","Global",2012,35.9771233762064,4.40496028516125
"8982","Global",2013,36.2052607504446,4.45811165362436
"8985","Global",2014,36.4259246973228,4.51298290438227
"8988","Global",2015,36.6547312434168,4.55507606988352
"8991","Global",2016,37.0927395349465,4.61502628174592
"8994","Global",2017,37.523580517869,4.64657203312888
"8997","Global",2018,37.5904775993818,4.6508940593377
"9000","Global",2019,37.3962969797479,4.62807942076464
